X,Y,osm_id,osm_type,completeness,is_in_health_zone,amenity,speciality,addr_full,operator,water_source,changeset_id,insurance,staff_doctors,contact_number,uuid,electricity,opening_hours,operational_status,source,is_in_health_area,health_amenity_type,changeset_version,emergency,changeset_timestamp,name,staff_nurses,changeset_user,wheelchair,beds,url,dispensing,healthcare,operator_type
,,721520722,way,13,,hospital,,,,,74023681,,,,3a6f0ab76ad34c7dad764f9a585fbcd1,,,,,,,1,,9/3/2019 7:11,ISM Hospital,,RLakhani,,,,,hospital,
67.02497808,24.86623394,4792035067,node,10,,hospital,,,,,74374628,,,,5fb58dcf579a452e818314a8a7443c52,,,,,,,3,,9/11/2019 23:44,Pakistan Medical Association,,RLakhani,,,,,,
74.42596699,31.57455319,4691717697,node,13,,hospital,,,,,46185474,,,,b8b2c07641b94d36837628cb99d10c6a,,Mo-Su 18:00-01:00,,,,,1,,2/18/2017 6:51,Fazal children & Gynaecologist clinic,,Azhar Majeed,,,,,,
67.06998789,24.92109526,5142642730,node,10,,hospital,,,,,52557449,,,,d3661c73f5934209ba1b2b32534acce6,,,,,,,1,,10/2/2017 8:49,Fatima Dental Hospital,,Owais Akhlaq,,,,,,
69.37263734,25.827093,5481213457,node,10,,clinic,,,,,57223700,,,,e691f14177284fa1bd399a84cb0a2fef,,,,,,,1,,3/15/2018 20:28,Dr. Ameen Bhayo,,ah511,,,,,,
73.09845818,33.733496,4943934779,node,10,,hospital,,,,,49943486,,,,26b2107483cd49539482c3accaa24a1d,,,,,,,1,,6/30/2017 12:50,Federal Government Dispensary (FGD),,Imran999,,,,,,
69.37793143,25.82662478,5406055640,node,10,,clinic,,,,,56274452,,,,d5bb56b9e0fe4b9d98d337f305d079a6,,,,,,,1,,2/11/2018 21:03,Dr. Khushi Ram,,ah511,,,,,,
74.30768995,31.50836733,5254181749,node,13,,hospital,,,,,54179889,,,,95f7038a43f0477cb330c36d64d4c62b,,,,,,,1,,11/29/2017 14:51,Sheikh Zayed Hospital,,SAFB13,,,,,hospital,
73.01704358,33.71561824,312719028,node,13,,hospital,,,,,54471650,,,,ff25cfea44bb4db79fcaa363c04fda10,,,,,,,6,yes,12/8/2017 22:16,PAF Hospital,,pyram,,,,,,
,,499270919,way,10,,hospital,,,,,49393865,,,,395be35fc14f405b9148293091ea5294,,,,,,,1,,6/9/2017 10:51,Dr. Zafar Chaudhari & Dr. Sonia Chaudhari,,Imran999,,,,,,
67.04936598,24.83824996,5128507229,node,10,,hospital,,,,,53012658,,,,9cf564944c394289be489a1490d6f310,,,,,,,2,,10/17/2017 13:58,Emergency Center,,Splasher,,,,,,
67.0345052,24.91828347,5081844141,node,10,,hospital,,,,,54933512,,,,8e405e88318649d39c67afaa4ccc9ecf,,,,,,,3,,12/26/2017 16:12,Chiniot Mother and Child Hospital,,Splasher,,,,,,
67.01299539,24.9409996,5147772667,node,10,,clinic,,,,,52765358,,,,9f66944488334ce4be221aac42813d03,,,,,,,2,,10/9/2017 16:44,Sajid Clinic,,Arshan Arshan,,,,,,
74.27313815,31.469609,2576284993,node,13,,pharmacy,,,Servaid Pharmacy,,22071440,,,,c095e26e168c4a039d35d6a22307a40a,,,,,,,2,,5/1/2014 19:48,Servaid,,jgpacker,,,,,,
74.33026376,31.48204875,4916250316,node,13,,pharmacy,,,,,81614804,,,,d9ede02507d24de6bca463677a41db32,,,,,,,2,,2/29/2020 8:30,Aziz Son's Pharma Plus,,ahmad5u9853,,,,,pharmacy,
72.35562525,34.75274473,4964214533,node,10,,hospital,,,,,50206263,,,,521eceed631948a8b2feda319c01ef9b,,,,,,,1,,7/11/2017 16:30,Swat Hospital,,Arif Khan11,,,,,,
73.98323712,31.71193778,4910707089,node,10,,pharmacy,,,,,49466429,,,,aa96555d93f74039aa5359bdb064f5d6,,,,,,,1,,6/12/2017 11:59,Punjab Pharmacy,,Imran999,,,,,,
67.03320625,24.92498849,4738085528,node,10,,hospital,,,,,54933207,,,,7168e47cff704aee9eacd0e31c2c48ae,,,,,,,6,,12/26/2017 16:00,Hanif Hospital Diagnostic Centre,,Splasher,,,,,,
74.34221459,31.48250028,5254181756,node,13,,hospital,,,,,54179889,,,,e22d16457ffa4966af0f98357c4fec52,,,,,,,1,,11/29/2017 14:51,Ghulab Devi Chest Hospital,,SAFB13,,,,,hospital,
71.45190077,33.99409063,6450693686,node,10,,clinic,,,,,69915278,,,,b55cd389181c4dc5a01ff727e967c7d4,,,,,,,1,,5/5/2019 20:16,City Medical laboratory,,adrmalik,,,,,,
72.36529344,34.76826106,4900785625,node,6,,clinic,,,,,49323242,,,,7caaf392d56445d593dfbd364eb87c3f,,,,,,,1,,6/7/2017 3:15,,,Arif Khan11,,,,,,
67.06275095,24.92909939,5132720068,node,10,,hospital,,,,,53449955,,,,9de4009b53964352a6093fd30f8df047,,,,,,,2,,11/2/2017 12:22,Lakhanis Eye Hospital,,Syed Zeeshan Ahmed90,,,,,,
,,268117265,way,10,,hospital,,,,,39560242,,,,764c2263471f4441832266946aa25040,,,,,,,3,,5/25/2016 16:25,Civil Hospital taxila,,ProjectThis,,,,,,
73.08021672,31.44645944,5259596740,node,13,,pharmacy,,,,,54264595,,,,a4fe4d4ed3f7487cbc13677eb206058c,,,,,,,1,,12/2/2017 9:38,Madina Chemis,,Syed Zeeshan Ahmed90,,,,,pharmacy,
71.65454057,29.40170313,5334157122,node,10,,pharmacy,,,,,55367284,,,,214899fa229d415897a908a58de08de9,,,,,,,1,,1/12/2018 0:44,#NAME?,,Ghaffar Aftab,,,,,,
73.02375555,33.59805283,4590878152,node,13,,hospital,,,,,44926601,,,,6553b0c729a3453bafa5687f0cb59a18,,,,,,,1,yes,1/5/2017 14:48,Farid Family Hospital,,Tariq Mehmood Malik,,,,,,
74.61254639,36.30639812,880532051,node,10,,hospital,,,,,5598909,,,,e06a97f30580457a87cf9d4172efa9d3,,,,,,,1,,8/26/2010 12:59,Aga Khan Health Center,,hunzai,,,,,,
67.12748766,24.91423618,5128368408,node,10,,hospital,,,,,52354539,,,,8ef39b2d4499427b81502a6bd41de3dd,,,,,,,1,,9/25/2017 12:29,Darul Sehat Hospital,,Syed Zeeshan Ahmed90,,,,,,
67.03084138,24.91390853,5079542899,node,10,,hospital,,,,,54933512,,,,e0386e1239ae44a3a9632016b2ea2b77,,,,,,,5,,12/26/2017 16:12,Liaquat National Hospital,,Splasher,,,,,,
67.06771757,24.83256677,4791723431,node,10,,pharmacy,,,,,54422691,,,,b40685cc213a401aa96ea1f8d7be7e28,,,,,,,2,,12/7/2017 6:57,Long Life Pharmacy,,Owais Akhlaq,,,,,,
73.01569367,33.67646226,6208206588,node,10,,hospital,,,,,66307893,,,,601e86f69524474da2f23f8887eead74,,,,,,,1,,1/14/2019 16:56,Latif Health Center,,Openstreetmapper777,,,,,,
74.29050227,31.53712087,5255461641,node,13,,hospital,,,,,54200920,,,,ed75e419090740f6ba37ff6e7713d674,,,,,,,1,,11/30/2017 10:16,Lahore Psychiatric Hospital,,SAFB13,,,,,hospital,
66.99528736,24.90069513,5092152415,node,10,,pharmacy,,,,,51884518,,,,554338e4f41b44079e4aa27eafbf6ae0,,,,,,,1,,9/9/2017 16:18,Pfizer Pakistan Limited,,Draculaa,,,,,,
